section,station,next_station,optional_nodes
PUNE-CSMT,VGI,BUD,
PUNE-CSMT,BUD,"ABH,ULNR,VLDI,KYN","ABH,ULNR,VLDI"
PUNE-CSMT,ABH,ULNR,
PUNE-CSMT,ULNR,VLDI,
PUNE-CSMT,VLDI,KYN,
PUNE-CSMT,KYN,THK,
PUNE-CSMT,THK,"DI,DDCL,KOPR,DTCC,DIVA","DI,DDCL,KOPR,DTCC"
PUNE-CSMT,DI,DDCL,
PUNE-CSMT,DDCL,KOPR,
PUNE-CSMT,KOPR,DTCC,
PUNE-CSMT,DTCC,DIVA,
PUNE-CSMT,KJT,"T2,CHOK",T2
PUNE-CSMT,T2,CHOK,
PUNE-CSMT,CHOK,"T1,PYJE",T1
PUNE-CSMT,T1,PYJE,
PUNE-CSMT,PYJE,"CKHS,PNVL",CKHS
PUNE-CSMT,CKHS,PNVL,
PUNE-CSMT,PNVL,KLMG,
PUNE-CSMT,KLMG,"NVRD,TPND",NVRD
PUNE-CSMT,NVRD,TPND,
PUNE-CSMT,TPND,NIIJ,
PUNE-CSMT,NIIJ,"DTVL,DIVA",DTVL
PUNE-CSMT,DTVL,DIVA,
PUNE-CSMT,DIVA,"MBQ,T22,T21,KLVA","MBQ,T22,T21"
PUNE-CSMT,MBQ,T22,
PUNE-CSMT,T22,T21,
PUNE-CSMT,T21,KLVA,
PUNE-CSMT,KLVA,TNA,
PUNE-CSMT,DIVA,"T20,TNA",T20
PUNE-CSMT,T20,TNA,
PUNE-CSMT,TNA,MLND,
PUNE-CSMT,MLND,"NHU,BND",NHU
PUNE-CSMT,NHU,BND,
PUNE-CSMT,BND,"KJRD,VK",KJRD
PUNE-CSMT,KJRD,VK,
PUNE-CSMT,VK,GC,
PUNE-CSMT,GC,VVH,
PUNE-CSMT,VVH,CLA,
PUNE-CSMT,CLA,"SION,MTN,DDR,DR","SION,MTN,DDR"
PUNE-CSMT,SION,MTN,
PUNE-CSMT,MTN,DDR,
PUNE-CSMT,DDR,DR,
PUNE-CSMT,DR,"PR,PL,CRD,CHG,BY","PR,PL,CRD,CHG"
PUNE-CSMT,PR,PL,
PUNE-CSMT,PL,CRD,
PUNE-CSMT,CRD,CHG,
PUNE-CSMT,CHG,BY,
PUNE-CSMT,BY,"SNRD,WB,MSD,CSMT","SNRD,WB,MSD"
PUNE-CSMT,SNRD,WB,
PUNE-CSMT,WB,MSD,
PUNE-CSMT,MSD,CSMT,
PUNE-LTT,PUNE,SVJR,
PUNE-LTT,SVJR,KK,
PUNE-LTT,KK,DAPD,
PUNE-LTT,DAPD,"KSWD,PMP",KSWD
PUNE-LTT,KSWD,PMP,
PUNE-LTT,PMP,CCH,
PUNE-LTT,CCH,"AKRD,DEHR",AKRD
PUNE-LTT,AKRD,"DEHR,SLRW,GRWD,TGN","DEHR,SLRW,GRWD"
PUNE-LTT,DEHR,SLRW,
PUNE-LTT,SLRW,GRWD,
PUNE-LTT,GRWD,"TGN,VDN,KNHE,KMST","TGN,VDN,KNHE"
PUNE-LTT,TGN,VDN,
PUNE-LTT,VDN,KNHE,
PUNE-LTT,KNHE,KMST,
PUNE-LTT,KMST,"MVL,LNLX,LNLB,LNL","MVL,LNLX,LNLB"
PUNE-LTT,MVL,LNLX,
PUNE-LTT,LNLX,LNLB,
PUNE-LTT,LNLB,LNL,
PUNE-LTT,LNL,KAD,
PUNE-LTT,KAD,"T18,MHLC",T18
PUNE-LTT,T18,MHLC,
PUNE-LTT,MHLC,"T6,T5,T17,T4,JBC","T6,T5,T17,T4"
PUNE-LTT,T6,T5,
PUNE-LTT,T5,T17,
PUNE-LTT,T17,T4,
PUNE-LTT,T4,JBC,
PUNE-LTT,MHLC,"T8,T7,T23,T5,TKW","T8,T7,T23,T5"
PUNE-LTT,T8,T7,
PUNE-LTT,T7,T23,
PUNE-LTT,T23,T5,
PUNE-LTT,T5,TKW,
PUNE-LTT,TKW,T4,
PUNE-LTT,T4,JBC,
PUNE-LTT,JBC,T3,
PUNE-LTT,T3,PDI,
PUNE-LTT,PDI,KJT,
PUNE-LTT,KJT,BVS,
PUNE-LTT,BVS,NRL,
PUNE-LTT,NRL,"SHLU,VGI",SHLU
PUNE-LTT,SHLU,VGI,
PUNE-LTT,VGI,BUD,
PUNE-LTT,BUD,"ABH,ULNR,VLDI,KYN","ABH,ULNR,VLDI"
PUNE-LTT,ABH,ULNR,
PUNE-LTT,ULNR,VLDI,
PUNE-LTT,VLDI,KYN,
PUNE-LTT,KYN,THK,
PUNE-LTT,THK,"DI,DDCL,KOPR,DTCC,DIVA","DI,DDCL,KOPR,DTCC"
PUNE-LTT,DI,DDCL,
PUNE-LTT,DDCL,KOPR,
PUNE-LTT,KOPR,DTCC,
PUNE-LTT,DTCC,DIVA,
PUNE-LTT,KJT,"T2,CHOK",T2
PUNE-LTT,T2,CHOK,
PUNE-LTT,CHOK,"T1,PYJE",T1
PUNE-LTT,T1,PYJE,
PUNE-LTT,PYJE,"CKHS,PNVL",CKHS
PUNE-LTT,CKHS,PNVL,
PUNE-LTT,PNVL,KLMG,
PUNE-LTT,KLMG,"NVRD,TPND",NVRD
PUNE-LTT,NVRD,TPND,
