restriction_id,from_lat,from_lon,to_lat,to_lon,speed_limit_kmph,route,direction,description 
143,19.979857,73.87096,19.991439,73.876213,115,CSMT-JL,DN,igp-mmr
144,20.045372,73.971065,20.048318,73.977361,110,CSMT-JL,DN,igp-mmr
145,20.083347,74.05056,20.110411,74.114885,110,CSMT-JL,DN,igp-mmr
146,20.110411,74.114885,20.15384,74.223464,115,CSMT-JL,DN,igp-mmr
147,20.180039,74.27905,20.182398,74.287455,110,CSMT-JL,DN,igp-mmr
148,20.207593,74.336102,20.212616,74.345714,110,CSMT-JL,DN,igp-mmr
149,20.237616,74.40743,20.239362,74.416243,110,CSMT-JL,DN,igp-mmr
150,20.245021,74.42451,20.24014,74.41773,110,JL-CSMT,UP,mmr-igp
151,20.209551,74.339983,20.206275,74.333732,110,JL-CSMT,UP,mmr-igp
152,20.181257,74.282792,20.178015,74.274929,110,JL-CSMT,UP,mmr-igp
153,20.15159,74.218773,20.146314,74.194758,110,JL-CSMT,UP,mmr-igp
154,20.125509,74.14538,20.102198,74.087654,115,JL-CSMT,UP,mmr-igp
155,20.102198,74.087654,20.034962,73.949488,110,JL-CSMT,UP,mmr-igp
156,19.98658,73.87574,19.98083,73.87284,80,JL-CSMT,UP,mmr-igp
157,19.95481,73.84382,19.93868,73.84023,80,JL-CSMT,UP,mmr-igp
158,19.93868,73.84023,19.937165,73.839919,110,JL-CSMT,UP,mmr-igp
159,19.875555,73.827481,19.8235,73.70616,110,JL-CSMT,UP,mmr-igp
160,19.8235,73.70616,19.81674,73.69921,75,JL-CSMT,UP,mmr-igp
161,19.81674,73.69921,19.8037,73.6822,100,JL-CSMT,UP,mmr-igp
162,19.8037,73.6822,19.79543,73.67232,95,JL-CSMT,UP,mmr-igp
163,19.79543,73.67232,19.77951,73.66118,85,JL-CSMT,UP,mmr-igp
164,19.77951,73.66118,19.73505,73.64026,110,JL-CSMT,UP,mmr-igp
165,19.73505,73.64026,19.72395,73.63656,90,JL-CSMT,UP,mmr-igp
